config,acc_B1,mae_B1,bias_B1,acc_B2,mae_B2,bias_B2,acc_B3,mae_B3,bias_B3,acc_B4,mae_B4,bias_B4,macro_acc,macro_mae,joint_acc
ElasticNet + F0+spatial (train),0.9645390070921985,0.3546099290780142,0.014184397163120567,0.8156028368794326,1.0567375886524824,-0.06382978723404255,0.5673758865248227,1.5177304964539007,-0.15602836879432624,0.723404255319149,1.2269503546099292,0.03546099290780142,0.7677304964539007,1.0390070921985817,0.3120567375886525
Ridge + F_all-67 (train),0.9645390070921985,0.3829787234042553,-0.014184397163120567,0.8226950354609929,1.0070921985815602,-0.09929078014184398,0.5531914893617021,1.553191489361702,-0.16312056737588654,0.7092198581560284,1.2056737588652482,0.09929078014184398,0.7624113475177305,1.0372340425531914,0.3120567375886525
"Stacking (4 base + Ridge meta, train)",0.9716312056737588,0.3829787234042553,0.014184397163120567,0.8085106382978723,1.0567375886524824,-0.07801418439716312,0.5177304964539007,1.5602836879432624,-0.1276595744680851,0.7446808510638298,1.1843971631205674,0.03546099290780142,0.7606382978723405,1.0460992907801419,0.3049645390070922
Ridge + F_all-67 (train+val),0.9645390070921985,0.3971631205673759,-0.014184397163120567,0.8226950354609929,1.0354609929078014,-0.07092198581560284,0.5319148936170213,1.5390070921985815,-0.1347517730496454,0.7163120567375887,1.2056737588652482,0.07092198581560284,0.7588652482269503,1.0443262411347518,0.3120567375886525
ElasticNet + F_all (train),0.9645390070921985,0.375886524822695,-0.03546099290780142,0.8014184397163121,1.0354609929078014,-0.09929078014184398,0.5460992907801419,1.5602836879432624,-0.11347517730496454,0.7092198581560284,1.2553191489361701,0.09219858156028368,0.7553191489361702,1.0567375886524824,0.28368794326241137
"Stacking (4 base + Ridge meta, train+val)",0.9645390070921985,0.3900709219858156,0.0070921985815602835,0.8156028368794326,1.0212765957446808,-0.09929078014184398,0.5035460992907801,1.5815602836879432,-0.10638297872340426,0.7304964539007093,1.2127659574468086,0.03546099290780142,0.7535460992907801,1.0514184397163122,0.2978723404255319
"Stacking-Optuna (4 base, train)",0.9645390070921985,0.375886524822695,0.0070921985815602835,0.8085106382978723,1.0425531914893618,-0.09219858156028368,0.5106382978723404,1.553191489361702,-0.12056737588652482,0.723404255319149,1.2127659574468086,0.04964539007092199,0.75177304964539,1.0460992907801419,0.2907801418439716
LGB-Optuna + F_all (train),0.9574468085106383,0.3971631205673759,0.0,0.7943262411347518,1.0354609929078014,-0.09929078014184398,0.5319148936170213,1.574468085106383,-0.1702127659574468,0.6879432624113475,1.2695035460992907,0.06382978723404255,0.7429078014184397,1.0691489361702127,0.2695035460992908
XGB-Optuna + F_all (train),0.9645390070921985,0.3829787234042553,-0.014184397163120567,0.7872340425531915,1.0283687943262412,-0.12056737588652482,0.5177304964539007,1.5815602836879432,-0.20567375886524822,0.6950354609929078,1.2836879432624113,0.09219858156028368,0.7411347517730495,1.0691489361702127,0.2765957446808511
XGB-Optuna + F_all (train+val),0.9574468085106383,0.3900709219858156,-0.03546099290780142,0.8156028368794326,1.0354609929078014,-0.0425531914893617,0.49645390070921985,1.624113475177305,-0.12056737588652482,0.6808510638297872,1.2624113475177305,0.14184397163120568,0.7375886524822696,1.0780141843971631,0.24113475177304963
LGB-Optuna + F_all (train+val),0.9574468085106383,0.41134751773049644,-0.014184397163120567,0.7801418439716312,1.0354609929078014,-0.07092198581560284,0.5035460992907801,1.6382978723404256,-0.09219858156028368,0.6879432624113475,1.2340425531914894,0.05673758865248227,0.7322695035460993,1.0797872340425532,0.2624113475177305
